Id,Name,DateLeft,EveWhoLink,DestroyedShips,Efficiency,ZKillboardLink
"2120977270","Yru Blue","2025/11/08 15:58","https://evewho.com/character/2120977270","0","0.0%","https://zkillboard.com/character/2120977270"
"2120604393","Herazty","2025/11/08 15:55","https://evewho.com/character/2120604393","","No Data","https://zkillboard.com/character/2120604393"
"2120977236","Pazu Blue","2025/11/08 15:55","https://evewho.com/character/2120977236","","No Data","https://zkillboard.com/character/2120977236"
"2119149424","Syn Blue","2025/11/08 15:51","https://evewho.com/character/2119149424","0","100.0%","https://zkillboard.com/character/2119149424"
"2120977241","Zazu Blue","2025/11/08 15:51","https://evewho.com/character/2120977241","0","0.0%","https://zkillboard.com/character/2120977241"
"2121978895","Rss One","2025/11/08 02:10","https://evewho.com/character/2121978895","0","0.0%","https://zkillboard.com/character/2121978895"
"92857079","Mordeth Al'Athaan","2025/11/08 02:06","https://evewho.com/character/92857079","72","79.1%","https://zkillboard.com/character/92857079"
"2120284236","Sari Blue","2025/11/07 23:48","https://evewho.com/character/2120284236","","No Data","https://zkillboard.com/character/2120284236"
"2119230434","Synar Blue","2025/11/07 23:45","https://evewho.com/character/2119230434","0","0.0%","https://zkillboard.com/character/2119230434"
"2117546620","Qartash","2025/11/07 22:50","https://evewho.com/character/2117546620","2","28.6%","https://zkillboard.com/character/2117546620"
"124485497","Charvela","2025/11/07 21:20","https://evewho.com/character/124485497","6","54.5%","https://zkillboard.com/character/124485497"
"2117122078","Dred Alt Roberts","2025/11/07 21:19","https://evewho.com/character/2117122078","","No Data","https://zkillboard.com/character/2117122078"
"1681627936","Tai Trond","2025/11/07 20:59","https://evewho.com/character/1681627936","0","0.0%","https://zkillboard.com/character/1681627936"
"2114126012","Thoran Daphiti","2025/11/07 20:56","https://evewho.com/character/2114126012","1","100.0%","https://zkillboard.com/character/2114126012"
"447873622","Famas Aurelius","2025/11/06 16:38","https://evewho.com/character/447873622","0","100.0%","https://zkillboard.com/character/447873622"
"92390757","Naprasniy","2025/11/06 16:38","https://evewho.com/character/92390757","1","14.3%","https://zkillboard.com/character/92390757"
"732664141","Postoronik","2025/11/06 16:38","https://evewho.com/character/732664141","24","75.0%","https://zkillboard.com/character/732664141"
"133702034","Izvilistiy","2025/11/06 16:38","https://evewho.com/character/133702034","0","0.0%","https://zkillboard.com/character/133702034"
"1559906969","Kasshuko","2025/11/06 16:37","https://evewho.com/character/1559906969","","No Data","https://zkillboard.com/character/1559906969"
"90613182","Validus Daucus","2025/11/06 16:21","https://evewho.com/character/90613182","","No Data","https://zkillboard.com/character/90613182"
"2122673700","Voron Oyuun","2025/11/06 16:20","https://evewho.com/character/2122673700","","No Data","https://zkillboard.com/character/2122673700"
"2121144799","Arkus Dukon","2025/11/06 16:20","https://evewho.com/character/2121144799","","No Data","https://zkillboard.com/character/2121144799"
"2122679510","Uren Sever","2025/11/06 16:18","https://evewho.com/character/2122679510","","No Data","https://zkillboard.com/character/2122679510"
"2122673701","Perm Nergui","2025/11/06 16:18","https://evewho.com/character/2122673701","0","0.0%","https://zkillboard.com/character/2122673701"
"92429180","Naprasnaya","2025/11/06 16:18","https://evewho.com/character/92429180","","No Data","https://zkillboard.com/character/92429180"
"90679558","Dutch Boloskarl","2025/11/06 16:17","https://evewho.com/character/90679558","","No Data","https://zkillboard.com/character/90679558"
"90679221","Brox Hegirin","2025/11/06 16:15","https://evewho.com/character/90679221","","No Data","https://zkillboard.com/character/90679221"
